CODIGO_SCIAN,ANIO,H010B,H010C,I100B,I100C,H010D,I100D,J000A,O110A,M710B,M710C,M999A,M310B,M310C,K316B,K316C,K910A,K411A,K951A,K412A,K961A,K610A,K810A,K710A,K500A,K931A,K999A,Q100A,Q200A,Q300A,Q400A,Q900A,Q000B,Q000C,Q000D,ESTATUS
311311,2013,28416,2579,59,10,83687,162,7005055,48287187,9895,0,479155,40632591,8528953,26959613,0,543151,869466,1390446,253621,839969,13398,1205,12513,260672,3564,1496887,40018210,8084334,383888,301268,301947,1708212,1921268,60637,Cifras definitivas
311320,2013,2143,2321,1015,470,10798,3302,879595,12174251,1146,380786,177244,11705604,535089,4023234,617865,922460,108707,147555,143996,129872,186242,399860,0,116566,55109,370203,1942794,1173451,60862,78336,191624,256054,189901,21292,Cifras definitivas
311330,2013,1299,1250,959,1262,6353,5625,266333,2720605,161374,828534,28369,2576951,135543,1047932,21353,258898,16237,44845,83940,39014,214809,5963,161376,30077,1254,133372,713164,1215998,15550,27213,21285,120946,93331,53190,Cifras definitivas
311340,2013,9409,8202,2664,2467,42370,11663,2295281,25926349,341923,1400010,331086,22150874,3736493,7399716,2238443,2342703,297370,437056,320480,367987,1610843,648322,426807,353795,47732,908011,6389257,1770563,248447,154528,266997,707677,581007,65474,Cifras definitivas
3114,2013,17378,12480,7312,4123,72234,28933,4056966,60023322,1265410,1040080,797047,47030937,13110238,19984066,2971839,6835755,606284,977437,876734,1630320,1420180,834529,272609,589304,240429,1301851,12701195,3539818,908077,397323,685805,1184142,1606783,173211,Cifras definitivas
311411,2013,3994,5273,3154,1918,24318,12380,892697,8353568,628,221652,170476,1214796,7163014,3186441,148362,663132,143302,203470,336510,360966,504015,2312,22546,122370,0,287310,2168419,996082,180606,38946,95238,227803,380848,32645,Cifras definitivas
311422,2013,11410,5989,3275,1566,40909,12739,2530745,34084751,1264782,818428,619178,29539093,4616167,10244354,2416456,4189277,409059,607081,441138,1171592,624877,809788,231621,383969,199625,836666,8242436,2115806,547362,304577,473882,749467,981103,131352,Cifras definitivas
311423,2013,1974,1218,883,639,7007,3814,633524,17585003,0,0,7393,16277048,1331057,6553271,407021,1983346,53923,166886,99086,97762,291288,22429,18442,82965,40804,177875,2290340,427930,180109,53800,116685,206872,244832,9214,Cifras definitivas
3115,2013,21667,4973,10889,3121,69244,35626,4726086,117638604,752954,0,1153617,115853721,1527672,55601416,5758764,9751792,1566488,1509076,1056607,1628513,2516239,1680409,509845,531854,41118,2226263,17368300,5735542,3654508,529070,1292400,2006161,1954073,187342,Cifras definitivas
311511,2013,12866,2595,6354,1056,40696,19266,2863581,49233767,216427,0,679301,49337108,0,28596353,1007565,5108536,707104,935360,447907,1049761,1261072,700766,419333,284733,17770,1332588,6378664,2571314,2972637,258836,370153,840320,776008,109110,Cifras definitivas
311512,2013,2760,500,337,153,8551,1301,785278,27157551,480155,0,31524,25655556,1260853,9044512,3929542,2183006,518389,203822,210002,109485,115211,9827,45796,100807,0,304955,4058480,1612178,113056,101515,493396,461627,510575,19996,Cifras definitivas
311513,2013,6041,1878,4198,1912,19997,15059,1077227,41247286,56372,0,442792,40861057,266819,17960551,821657,2460250,340995,369894,398698,469267,1139956,969816,44716,146314,23348,588720,6931156,1552050,568815,168719,428851,704214,667490,58236,Cifras definitivas
3116,2013,22791,15173,13522,6914,94128,49490,5660586,80726916,1133315,10348,6024691,76710470,4215159,51869592,3168596,1547667,1017254,808908,1205714,1215956,2417006,201250,50961,436189,54034,1731769,9712673,8234343,2346816,582769,835654,1720422,1697680,222827,Cifras definitivas
311611,2013,3281,997,8729,3960,10915,30493,500297,37293908,893255,0,134844,36174638,1314556,27683543,155532,517458,377382,431572,561973,162288,1365001,10016,31139,107379,765,631842,4378913,3622208,288973,113044,95103,523403,591125,86396,Cifras definitivas
311612,2013,3735,1465,3290,1583,12811,11954,568435,16147810,238040,10348,425680,13445072,2724406,9126723,1467147,333297,107476,119264,282960,196227,667773,16763,12425,63908,5555,327724,1539854,1884655,192332,130400,75428,319614,293068,55040,Cifras definitivas
311613,2013,15775,12711,1503,1371,70402,7043,4591854,27285198,2020,0,5464167,27090760,176197,15059326,1545917,696912,532396,258072,360781,857441,384232,174471,7397,264902,47714,772203,3793906,2727480,1865511,339325,665123,877405,813487,81391,Cifras definitivas
3117,2013,1676,812,2440,2750,6017,12801,250131,11341205,51792,4136,108229,9203510,1838308,5019983,334034,2004470,258647,158928,156464,140152,672631,7573,1229,48399,3511,371674,1755661,764750,140221,37406,54540,239332,154076,13623,Cifras definitivas
311710,2013,1676,812,2440,2750,6017,12801,250131,11341205,51792,4136,108229,9203510,1838308,5019983,334034,2004470,258647,158928,156464,140152,672631,7573,1229,48399,3511,371674,1755661,764750,140221,37406,54540,239332,154076,13623,Cifras definitivas
3118,2013,183569,113788,8185,4389,799953,31817,16439403,145406315,1122,0,1847924,139264697,5997348,55086297,765455,6666634,4718046,2698619,2168638,823045,2381507,383474,6572,3092914,50438,4395240,24307048,20151864,4584385,386304,1476997,4312861,1825232,99998,Cifras definitivas
311811,2013,14815,2119,32,72,43043,250,3864774,54873234,0,0,400710,52656276,2189465,13665058,244069,2084869,543054,960131,312958,167005,10033,10103,0,530754,2088,1997806,5314820,275036,1112336,77291,472568,940526,537754,32879,Cifras definitivas
311812,2013,89729,33494,0,0,302896,0,5401759,26521414,0,0,305063,26485463,0,12443523,94068,765638,748823,319788,403296,56619,0,31938,0,863474,0,950759,4276679,4493623,1337531,104238,484589,718168,413643,7892,Cifras definitivas
311820,2013,4343,3330,8153,4317,18980,31567,1050280,26305530,1122,0,637987,22460851,3807883,11949500,427318,3167320,383718,494195,283215,596733,2371474,299273,6572,162613,48350,749884,6436833,2355326,444593,196582,161366,836424,829724,59213,Cifras definitivas
311830,2013,74682,74845,0,0,435034,0,6122590,37706137,0,0,504164,37662107,0,17028216,0,648807,3042451,924505,1169169,2688,0,42160,0,1536073,0,696791,8278716,13027879,1689925,8193,358474,1817743,44111,14,Cifras definitivas
3119,2013,11795,4985,11996,5498,40626,45044,3241404,134331160,432797,585907,591386,117239239,15216553,35528158,3729056,7236729,1264221,1313192,946794,1719151,4425724,923063,660617,693685,415335,3467053,16411419,6308283,1664005,654922,629430,1657859,1793092,192925,Cifras definitivas
311910,2013,3427,2017,4840,1978,13076,19185,927023,63357445,0,522259,16015,59332858,1883707,11195212,609903,3289910,629628,548221,259405,291717,1357883,19682,41137,290374,4210,1224206,5137119,1767535,906661,101882,96336,492651,519067,117385,Cifras definitivas
311921,2013,328,72,520,115,1042,1608,37322,4576008,17682,49541,22966,3352337,1272213,3220624,0,22480,26163,23294,17183,29420,81927,903,2955,7024,0,81347,337762,206314,89824,17680,21331,56384,76844,4685,Cifras definitivas
311922,2013,306,179,328,143,1138,1262,61912,3580686,13182,0,7554,2997904,608630,1434137,421979,151747,29810,34041,19645,67594,91149,10096,0,26464,0,45533,829208,111944,79453,32722,32996,70241,146801,2781,Cifras definitivas
311923,2013,1403,459,291,109,4715,1003,315792,7779203,1972,0,31931,6338055,1436530,2103586,921283,1098426,118557,75274,65175,41783,53677,22430,21880,35639,947,275540,1774272,444333,65765,34023,101186,127689,112483,19273,Cifras definitivas
311930,2013,1340,435,3232,1925,4238,12067,462082,27622360,12737,14107,203534,22194821,6245400,6639611,572635,495900,214862,259781,189495,419421,1708671,263088,6090,149017,39648,353709,3578807,1428649,101157,197385,117884,306633,435530,18850,Cifras definitivas
311940,2013,2742,862,1422,446,8583,4798,784537,16373310,347237,0,122625,14596416,1168397,5595665,936104,1786744,123025,220613,187206,602917,657121,494830,542026,97488,305410,1133871,2436650,1442876,268008,197544,165608,363803,301426,10248,Cifras definitivas
311991,2013,353,111,288,198,1192,1083,157576,3518825,0,0,11882,3256427,276168,1605209,115500,127760,48396,28946,55727,138255,194457,94244,29154,22680,0,81127,436053,79451,23722,34303,23503,61613,20684,5605,Cifras definitivas
311992,2013,654,286,141,15,2239,414,265726,2672755,1532,0,43916,1588337,1098905,846004,70050,123435,29794,70797,105562,35880,26418,7445,15796,5091,64553,106487,1145086,499023,14322,7479,11733,81003,124331,3786,Cifras definitivas
311999,2013,1242,564,934,569,4403,3624,229434,4850568,38455,0,130963,3582084,1226603,2888110,81602,140327,43986,52225,47396,92164,254421,10345,1579,59908,567,165233,736462,328158,115093,31904,58853,97842,55926,10312,Cifras definitivas
312,2013,79260,10472,19283,3152,229614,55566,12173710,293331525,2187679,985122,8575072,256419982,37549613,61717428,5264813,48281791,3544736,4227224,2634056,2894891,6186612,7433063,2998703,1985875,777960,7900966,80379642,31852829,10318719,1732683,16608672,8204886,7728829,935435,Cifras definitivas
3121,2013,78233,10237,18625,2852,226808,53267,11849602,256241751,2148679,121165,8111648,219866972,37163794,59799283,3316448,48234240,3502917,4063752,2557122,2791563,5160569,7040389,2940734,1949396,482398,7435762,76992652,30454056,10200809,1482397,16511943,7847164,7248223,856670,Cifras definitivas
312111,2013,35494,3637,5886,955,96851,17082,7334055,147275621,2015299,28640,4791534,144849566,2496043,47711605,78491,20989737,1433636,2407256,1603100,1421450,1184576,2528428,2668898,937883,287113,3260223,25862578,12506582,7708707,1061821,14704639,4243292,5077204,550752,Cifras definitivas
312112,2013,36543,5949,3445,501,113517,9715,2453916,9414806,0,0,422092,9430238,0,778841,0,423982,604030,383524,278283,97486,421251,74389,0,543478,89796,625946,3159571,2092052,1642903,59158,277292,596795,86391,40350,Cifras definitivas
312120,2013,4863,81,5689,255,11926,15531,1775388,77951985,0,12452,1687852,52839931,25530549,7292891,2922302,24454560,1102540,1100565,520032,898795,1822889,2515321,0,262908,37351,3109974,43825562,13561199,383875,180232,1395144,2576024,1836219,236239,Cifras definitivas
312131,2013,211,64,1146,426,640,3218,39314,3439956,0,0,429144,3399131,75696,702378,148451,651275,17292,37754,26262,100706,439153,309535,2251,23337,646,109170,563472,337999,8873,8936,32032,61972,60512,6508,Cifras definitivas
312141,2013,112,47,297,82,410,827,11608,1296457,0,0,375713,1084255,228772,402358,0,268047,118783,2033,12170,21984,185964,489854,0,3720,35466,10187,177427,704589,281748,48699,2810,51227,20895,700,Cifras definitivas
312142,2013,870,386,2161,632,2960,6890,195545,16606890,133380,80073,374642,8131946,8708397,2824991,144540,1387865,221879,126287,115355,242971,1106397,1119611,269585,175317,28778,309821,3340970,1147543,152471,120350,90486,304489,156402,18597,Cifras definitivas
312149,2013,140,73,1,1,504,4,39776,256036,0,0,30671,131905,124337,86219,22664,58774,4757,6333,1920,8171,339,3251,0,2753,3248,10441,63072,104092,22232,3201,9540,13365,10600,3524,Cifras definitivas
3122,2013,1027,235,658,300,2806,2299,324108,37089774,39000,863957,463424,36553010,385819,1918145,1948365,47551,41819,163472,76934,103328,1026043,392674,57969,36479,295562,465204,3386990,1398773,117910,250286,96729,357722,480606,78765,Cifras definitivas
312210,2013,299,147,0,0,1095,0,64875,720264,39000,0,11454,462915,257349,518986,0,8197,8012,20069,8145,5637,0,585,21211,10442,0,29069,148049,114043,12825,11271,10850,20471,13121,841,Cifras definitivas
312221,2013,728,88,658,300,1711,2299,259233,36369510,0,863957,451970,36090095,128470,1399159,1948365,39354,33807,143403,68789,97691,1026043,392089,36758,26037,295562,436135,3238941,1284730,105085,239015,85879,337251,467485,77924,Cifras definitivas
313,2013,33035,12001,9249,4182,106785,32413,5270502,45451585,2244884,1578020,424042,31373486,14281565,12757870,10196873,427101,945839,1061401,2575858,490876,1793702,52049,1093665,768142,218499,1372374,25800194,5630422,499530,353146,468123,1550268,714964,172347,Cifras definitivas
3131,2013,4057,2074,2932,1056,14770,9601,707594,7606676,386300,133524,114137,5692653,1900962,2040901,1647517,129854,68542,183967,688002,66895,451538,8746,57811,213240,28149,221771,6003580,1116632,101140,34778,88632,330266,170682,10841,Cifras definitivas
313112,2013,2171,1041,2664,970,7594,8753,357751,4986751,229766,133524,69850,3723146,1248250,1541300,1127602,90144,38337,100961,537841,41342,425519,2271,9993,64846,26,140005,4533454,784990,68831,19612,38941,243512,96426,9942,Cifras definitivas
313113,2013,1886,1033,268,86,7176,848,349843,2619925,156534,0,44287,1969507,652712,499601,519915,39710,30205,83006,150161,25553,26019,6475,47818,148394,28123,81766,1470126,331642,32309,15166,49691,86754,74256,899,Cifras definitivas
3132,2013,24046,6988,5020,2714,75075,18918,3798501,31510959,1041146,915294,273676,22474370,9069002,8905209,6712004,263600,740439,768543,1717744,391511,1044498,37021,767250,418304,185404,957737,18402844,4365823,330863,269305,324221,1105051,472549,156825,Cifras definitivas
313210,2013,17891,5012,2982,708,55522,9085,2703305,19759590,630114,914594,206306,12884957,6945247,4326720,5292720,182027,562450,495728,1293410,252307,465079,24859,221059,258336,37813,616886,12345754,3260533,174450,114416,214937,774928,309533,131632,Cifras definitivas
313220,2013,1349,977,675,503,5418,2609,255307,1728996,13357,0,28553,1423932,337490,521783,96389,18769,37241,39215,40086,23810,136615,2849,179552,44183,6815,114231,867240,122482,35413,36575,25181,54349,45146,3448,Cifras definitivas
313230,2013,1607,188,217,121,4403,788,386724,4922969,318,0,22441,3635710,1256635,1863740,874210,49798,56092,117821,203170,86441,118722,2882,19192,38986,140776,81020,2390717,555375,50563,41538,46573,139691,78047,11801,Cifras definitivas
313240,2013,3199,811,1146,1382,9732,6436,453165,5099404,397357,700,16376,4529771,529630,2192966,448685,13006,84656,115779,181078,28953,324082,6431,347447,76799,0,145600,2799133,427433,70437,76776,37530,136083,39823,9944,Cifras definitivas
3133,2013,4932,2939,1297,412,16940,3894,764407,6333950,817438,529202,36229,3206463,3311601,1811760,1837352,33647,136858,108891,170112,32470,297666,6282,268604,136598,4946,192866,1393770,147967,67527,49063,55270,114951,71733,4681,Cifras definitivas
313310,2013,3283,2393,599,212,12255,1851,443353,2347848,692350,529202,4465,414626,2084198,161171,1062643,27850,101302,41256,74723,5012,134629,75,47610,48049,0,78131,723753,78333,27915,20831,31290,52805,30718,3553,Cifras definitivas
313320,2013,1649,546,698,200,4685,2043,321054,3986102,125088,0,31764,2791837,1227403,1650589,774709,5797,35556,67635,95389,27458,163037,6207,220994,88549,4946,114735,670017,69634,39612,28232,23980,62146,41015,1128,Cifras definitivas
314,2013,7271,5117,3933,2031,28649,14100,1362344,10090589,170422,930389,161708,8630894,1561557,3825773,1114535,104002,85338,160500,321614,115617,841827,64735,358692,208933,33884,492179,4452684,1084355,214639,145093,123435,277605,158767,20470,Cifras definitivas
3141,2013,3233,2985,1785,1110,13734,6823,746720,5306216,101397,534612,102110,4862386,507961,1980330,542841,50107,49114,59567,63667,50084,408232,63034,259545,124184,33884,277582,2242404,667716,94208,94623,85970,135212,69779,14411,Cifras definitivas
314110,2013,509,179,0,0,1440,0,143043,813110,451,0,22241,493737,333158,356375,26964,4465,6468,708,5202,275,0,14471,0,2175,0,20227,741237,338287,10785,31078,45131,37461,22368,12000,Cifras definitivas
314120,2013,2724,2806,1785,1110,12294,6823,603677,4493106,100946,534612,79869,4368649,174803,1623955,515877,45642,42646,58859,58465,49809,408232,48563,259545,122009,33884,257355,1501167,329429,83423,63545,40839,97751,47411,2411,Cifras definitivas
3149,2013,4038,2132,2148,921,14915,7277,615624,4784373,69025,395777,59598,3768508,1053596,1845443,571694,53895,36224,100933,257947,65533,433595,1701,99147,84749,0,214597,2210280,416639,120431,50470,37465,142393,88988,6059,Cifras definitivas
314911,2013,1387,1320,951,738,6606,4167,273384,2887179,36315,35921,43198,2147163,762447,1080525,432400,8004,12464,53332,137381,47061,241907,268,92931,17566,0,114280,1228820,284661,33612,28662,18335,81962,56028,4533,Cifras definitivas
314912,2013,545,164,817,47,1597,1770,67513,332352,0,288798,1780,323467,6766,190466,10085,1538,5522,5969,13209,2126,135737,911,712,24543,0,37897,105074,11495,31479,10805,6420,12535,2999,335,Cifras definitivas
314992,2013,679,294,47,24,2478,157,93069,542506,130,35488,194,371261,172412,276122,26894,20553,2640,14126,32067,5192,6725,307,587,6643,0,18297,330055,21958,21771,3790,4421,16259,14214,652,Cifras definitivas
314993,2013,1347,183,333,112,3686,1183,160829,1009513,32580,0,14426,913834,111971,291147,102315,23503,15432,26437,73934,11127,49226,215,4673,33881,0,40324,545365,91175,31919,6617,7830,30701,15718,539,Cifras definitivas
314999,2013,80,171,0,0,548,0,20829,12823,0,35570,0,12783,0,7183,0,297,166,1069,1356,27,0,0,244,2116,0,3799,966,7350,1650,596,459,936,29,0,Cifras definitivas
315,2013,51160,71692,13692,14175,279869,63486,10009839,38721960,3988882,13378569,1311374,30225168,8454860,13045008,3853348,622882,419225,615166,912837,380832,2729722,405130,7551883,969832,243100,3308530,7844853,3430319,808165,600808,600592,975737,568321,101944,Cifras definitivas
3151,2013,6053,8627,920,1490,33043,5470,1225179,7067100,802862,666414,193843,5795098,1257465,2382712,548138,143492,129901,135445,313760,99447,253505,123718,1402641,171996,34712,369072,3106302,451407,118607,128624,61086,248178,120569,59219,Cifras definitivas
315110,2013,2500,3523,513,858,14030,3257,482580,2638841,232046,262504,67384,2247404,406115,1078902,123363,51726,67907,49980,138913,37042,161606,104618,234981,84411,9921,184412,702640,206964,40235,21787,12024,71801,38771,32874,Cifras definitivas
315191,2013,372,591,22,167,2044,350,78502,388101,10301,29156,1317,391606,0,170023,0,18190,2330,2077,2268,3028,6715,2827,36922,8324,2744,17722,31930,1627,7033,5572,5383,5962,1995,3777,Cifras definitivas
315192,2013,3181,4513,385,465,16969,1863,664097,4040158,560515,374754,125142,3156088,851350,1133787,424775,73576,59664,83388,172579,59377,85184,16273,1130738,79261,22047,166938,2371732,242816,71339,101265,43679,170415,79803,22568,Cifras definitivas
3152,2013,44459,62365,12772,12685,243845,58016,8615568,31472049,3180264,12529261,1113850,24393263,7051613,10630317,3244612,476245,286411,468852,592119,278468,2476217,280097,6149169,786507,208388,2908245,4725983,2952943,684146,469673,537435,723524,437379,42699,Cifras definitivas
315221,2013,1624,4881,1548,2318,14768,8160,513621,4385814,506560,93731,524459,3163995,1249147,1716569,238913,67273,12681,28662,25275,57504,392766,119081,945045,68481,21458,457718,465860,110508,70899,53478,69983,61820,34388,5987,Cifras definitivas
315222,2013,1896,3095,116,209,10609,666,397532,1581714,377539,194032,37067,1590622,18856,580310,103626,28214,7172,18769,22239,14225,27254,10544,364549,32176,7475,163440,150120,37575,28288,21758,20962,21633,17223,1896,Cifras definitivas
315223,2013,7661,11048,2082,3377,42149,12536,1489358,3991524,91694,3243666,102356,3705105,327804,1730860,172644,78457,65017,107115,102849,65183,543820,18108,461541,107157,28056,361633,800831,567118,164506,81820,79507,120116,95953,2941,Cifras definitivas
315229,2013,33278,43341,9026,6781,176319,36654,6215057,21512997,2204471,8997832,449968,15933541,5455806,6602578,2729429,302301,201541,314306,441756,141556,1512377,132364,4378034,578693,151399,1925454,3309172,2237742,420453,312617,366983,519955,289815,31875,Cifras definitivas
3159,2013,648,700,0,0,2981,0,169092,182811,5756,182894,3681,36807,145782,31979,60598,3145,2913,10869,6958,2917,0,1315,73,11329,0,31213,12568,25969,5412,2511,2071,4035,10373,26,Cifras definitivas
315991,2013,283,193,0,0,1108,0,34942,152042,5733,20968,1644,7899,143321,23699,53405,2811,2327,1091,1230,1725,0,77,73,3365,0,8809,8480,1493,3225,1922,1545,2013,1132,26,Cifras definitivas
315999,2013,365,507,0,0,1873,0,134150,30769,23,161926,2037,28908,2461,8280,7193,334,586,9778,5728,1192,0,1238,0,7964,0,22404,4088,24476,2187,589,526,2022,9241,0,Cifras definitivas
316,2013,35908,21077,5586,3593,130687,20940,5469959,32360809,1991838,2617973,646796,23936522,8606445,14580406,3501988,357424,146481,483857,441608,173629,1057816,158653,1731326,384316,222313,1874834,4562766,748728,489798,362039,513943,599116,444912,43938,Cifras definitivas
3161,2013,7195,2350,3423,1143,23763,10135,1238399,8718170,433067,2059166,88948,3484375,5286341,2741864,2750649,60483,73537,268684,162758,52401,611809,3115,161321,142272,55787,726189,1328871,391756,116802,52563,72559,136006,101333,8872,Cifras definitivas
316110,2013,7195,2350,3423,1143,23763,10135,1238399,8718170,433067,2059166,88948,3484375,5286341,2741864,2750649,60483,73537,268684,162758,52401,611809,3115,161321,142272,55787,726189,1328871,391756,116802,52563,72559,136006,101333,8872,Cifras definitivas
3162,2013,26711,17213,1980,2246,98792,9720,3909675,22875914,1529750,208470,540222,19904389,3096041,11528693,653630,281668,64241,195067,260993,113313,413091,144485,1555888,208770,163671,1002347,3108249,323702,338761,296726,426014,442755,336889,33822,Cifras definitivas
316211,2013,23872,14812,1569,1361,86534,6671,3434297,19951026,1518254,208470,475024,17003511,2997812,10172801,597589,224915,52869,159170,194112,71886,301231,106606,1495642,163360,102460,781983,2650401,281314,277772,267751,396033,381501,270903,32764,Cifras definitivas
316212,2013,1616,1244,0,0,6576,0,211351,1251799,11476,0,18178,1290917,14735,627796,24686,27663,5497,10711,19110,11513,0,7481,52824,24623,27463,36497,171660,13563,30529,14977,16330,24983,14098,386,Cifras definitivas
316213,2013,1223,1157,411,885,5682,3049,264027,1673089,20,0,47020,1609961,83494,728096,31355,29090,5875,25186,47771,29914,111860,30398,7422,20787,33748,183867,286188,28825,30460,13998,13651,36271,51888,672,Cifras definitivas
3169,2013,2002,1514,183,204,8132,1085,321885,766725,29021,350337,17626,547758,224063,309849,97709,15273,8703,20106,17857,7915,32916,11053,14117,33274,2855,146298,125646,33270,34235,12750,15370,20355,6690,1244,Cifras definitivas
316991,2013,609,611,0,0,2977,0,122256,139819,28869,132513,610,133972,7685,66191,1389,6714,3632,3521,5092,1503,0,262,7406,12609,20,27892,13770,6404,11673,2488,6352,4520,1013,43,Cifras definitivas
316999,2013,1393,903,183,204,5155,1085,199629,626906,152,217824,17016,413786,216378,243658,96320,8559,5071,16585,12765,6412,32916,10791,6711,20665,2835,118406,111876,26866,22562,10262,9018,15835,5677,1201,Cifras definitivas
321,2013,10637,1862,1996,565,29167,6124,1184293,10589743,27415,231003,239587,8767300,1782417,5187803,955182,48908,170638,162796,260922,232523,418100,14498,5879,115639,0,465217,2710852,1067018,393055,60141,89827,349966,165346,10454,Cifras definitivas
3211,2013,2657,227,97,21,6407,282,220334,1407718,16012,12548,68343,1403399,7421,742122,22055,99,49554,28803,21312,45745,6641,242,2629,1488,0,44843,299681,133485,90980,6050,7959,52792,12995,2567,Cifras definitivas
321111,2013,635,64,50,15,1461,160,56801,229612,992,0,1835,222719,7421,117290,0,0,6677,4983,3729,5859,3301,62,0,300,0,7642,55267,13679,12579,1371,1163,9309,2361,45,Cifras definitivas
321112,2013,1709,149,4,6,4141,15,137928,786442,15020,0,65896,784940,0,393737,22055,99,38111,20221,15763,20541,555,108,2629,1012,0,25864,210048,95920,70328,3962,6037,38299,7323,2522,Cifras definitivas
321113,2013,313,14,43,0,805,107,25605,391664,0,12548,612,395740,0,231095,0,0,4766,3599,1820,19345,2785,72,0,176,0,11337,34366,23886,8073,717,759,5184,3311,0,Cifras definitivas
3212,2013,2128,280,832,163,6023,2399,250035,3499946,3423,0,105674,3110169,373084,1391458,423856,17165,47660,69071,165659,68441,257852,10279,14,41877,0,183996,1441468,432839,90466,14599,12718,151267,106215,4734,Cifras definitivas
321210,2013,2128,280,832,163,6023,2399,250035,3499946,3423,0,105674,3110169,373084,1391458,423856,17165,47660,69071,165659,68441,257852,10279,14,41877,0,183996,1441468,432839,90466,14599,12718,151267,106215,4734,Cifras definitivas
3219,2013,5852,1355,1067,381,16737,3443,713924,5682079,7980,218455,65570,4253732,1401912,3054223,509271,31644,73424,64922,73951,118337,153607,3977,3236,72274,0,236378,969703,500694,211609,39492,69150,145907,46136,3153,Cifras definitivas
321910,2013,1929,671,322,181,5875,1194,287791,2213607,268,76811,21777,1174473,1036918,1176336,191398,21653,11385,27353,37100,66975,45200,2151,756,22164,0,111979,677300,284459,36101,13653,17011,69554,14640,583,Cifras definitivas
321920,2013,3384,405,301,34,9053,780,336310,2872759,7712,67901,25728,2627810,220651,1660558,190155,3875,53862,30017,24107,42414,31059,1030,2478,35917,0,89727,191736,121015,150876,14717,44234,52600,23022,2171,Cifras definitivas
