INDUSTRYKEY,YEAR,DIR EMP(M),DIR EMP(F),IND EMP(M),IND EMP(F),DIR HOURS ,IND HOURS ,TCOMP DIR(USD),TWPRODUCTS(USD) ,TSALES NATIONAL(USD),TSALES EXPORT(USD),TCELECT ENERGY(USD),TCOMP IND(USD),TWMACHINERY(USD),NUMBER TECH DEVICES
339,2013,60410.0,74625.0,5162.0,4103.0,313246.0,21003.0,18842012.0,30225959.0,19249601.0,10937780.0,1894483.0,1172020.0,11846724.0,724438.0
311,2014,320580.0,174208.0,74277.0,36340.0,1286612.0,275946.0,51930947.0,870230279.0,803942250.0,64662618.0,10197038.0,21947636.0,178794483.0,4295318.0
312,2014,78982.0,10260.0,19972.0,3078.0,228454.0,56560.0,12827817.0,311297910.0,263272937.0,48003952.0,2644445.0,6759647.0,85937112.0,1952400.0
313,2014,32756.0,12713.0,8474.0,3118.0,109071.0,28484.0,5585051.0,49174332.0,33310578.0,15563777.0,2748370.0,1737899.0,25586134.0,384550.0
314,2014,8125.0,6205.0,4046.0,1368.0,33710.0,12166.0,1610620.0,10752835.0,8946167.0,1739635.0,337440.0,795178.0,4539106.0,153302.0
315,2014,55803.0,73721.0,8015.0,10505.0,292363.0,42558.0,10785515.0,39975727.0,29990133.0,9883567.0,930928.0,1862233.0,8168072.0,620929.0
316,2014,35515.0,22564.0,4533.0,2621.0,131061.0,16162.0,5926263.0,34232104.0,25073633.0,9129832.0,466804.0,970880.0,4766812.0,372944.0
321,2014,10169.0,1634.0,2206.0,600.0,27121.0,6850.0,1172468.0,10455122.0,8681668.0,1854838.0,274005.0,482105.0,2827972.0,65062.0
322,2014,43585.0,13187.0,10925.0,3130.0,145044.0,36802.0,11206826.0,151439908.0,135322840.0,15264054.0,5999158.0,3108167.0,76249593.0,890943.0
323,2014,14955.0,9437.0,3428.0,2306.0,56930.0,12921.0,3641645.0,20570230.0,18986912.0,1545211.0,514731.0,988186.0,9483987.0,491370.0
324,2014,22993.0,5361.0,1674.0,477.0,64414.0,5065.0,14766198.0,866658177.0,865342222.0,2188119.0,1282985.0,877909.0,219773478.0,286771.0
325,2014,73611.0,33414.0,32898.0,13546.0,253953.0,108484.0,35084042.0,740216230.0,573397510.0,160937708.0,9572225.0,17215470.0,171175418.0,5187370.0
326,2014,74672.0,48611.0,39839.0,25927.0,288738.0,158503.0,20026678.0,194546368.0,139815934.0,54747675.0,7557944.0,12668097.0,70160623.0,1903632.0
327,2014,47600.0,7603.0,33970.0,7198.0,141135.0,108123.0,10725405.0,169881315.0,145353548.0,24232630.0,9635186.0,9994332.0,114794510.0,1228069.0
331,2014,52168.0,5449.0,22858.0,3593.0,139964.0,66176.0,16574718.0,432403977.0,289046081.0,141267244.0,16860829.0,7745566.0,203672432.0,2304183.0
332,2014,150765.0,27694.0,33438.0,11545.0,413644.0,101199.0,23345819.0,186206994.0,131466660.0,52812279.0,4693159.0,8156854.0,55710037.0,1489010.0
333,2014,61954.0,18669.0,15875.0,3846.0,187315.0,44351.0,15786984.0,111631395.0,37024584.0,74635242.0,1802388.0,4453355.0,24071913.0,1158480.0
334,2014,103257.0,114418.0,16571.0,14807.0,525460.0,72769.0,34556410.0,52722914.0,10856958.0,41767173.0,3267313.0,4721170.0,14846686.0,1526769.0
335,2014,76770.0,49873.0,26801.0,11020.0,289362.0,86151.0,20666439.0,138243106.0,80550711.0,57802298.0,3290377.0,7406818.0,34254550.0,1017345.0
336,2014,342990.0,210802.0,121559.0,59748.0,1232871.0,417937.0,95248151.0,1501913890.0,421771401.0,1076167040.0,14786902.0,40684295.0,315248345.0,6954190.0
337,2014,31609.0,12088.0,3192.0,1307.0,103300.0,10308.0,5070018.0,19661477.0,16320791.0,3334201.0,399039.0,567474.0,3702513.0,271522.0
339,2014,61163.0,79643.0,4555.0,4180.0,322992.0,20345.0,20038922.0,31637573.0,20247379.0,11262689.0,1960081.0,1218897.0,12506259.0,744276.0
311,2015,322884.0,175405.0,74942.0,38075.0,1325781.0,284190.0,54935897.0,920781107.0,841684194.0,78545539.0,9596645.0,23112596.0,193548784.0,4714779.0
312,2015,73314.0,10178.0,25420.0,3390.0,214692.0,70768.0,12397098.0,343420048.0,286960568.0,56429580.0,2520811.0,8717810.0,91587772.0,2116284.0
313,2015,33685.0,12290.0,8573.0,3392.0,111575.0,29979.0,5837616.0,53998390.0,36830910.0,16706721.0,2615201.0,1912799.0,26324654.0,413065.0
314,2015,8607.0,6341.0,3805.0,1122.0,35446.0,10746.0,1819858.0,11328977.0,9495302.0,1868545.0,327416.0,760244.0,4588191.0,166517.0
315,2015,55471.0,71955.0,8435.0,10557.0,287136.0,43962.0,11144314.0,41668433.0,31534219.0,10027154.0,790963.0,1988467.0,8459193.0,636357.0
316,2015,35654.0,22701.0,4696.0,2575.0,130648.0,16741.0,6355818.0,38635485.0,26836554.0,11768647.0,482271.0,1050251.0,4791069.0,380825.0
321,2015,10076.0,1663.0,2215.0,513.0,27098.0,6629.0,1220164.0,11979891.0,9484374.0,2476460.0,244497.0,511511.0,3098923.0,81736.0
322,2015,43460.0,12837.0,11758.0,2983.0,143036.0,38395.0,11694889.0,165234857.0,146715555.0,18027976.0,6129758.0,3521482.0,79540769.0,995213.0
323,2015,14861.0,9439.0,3325.0,2308.0,57972.0,12714.0,3944916.0,23986618.0,21971100.0,1902231.0,468056.0,1019188.0,10633552.0,519371.0
324,2015,21848.0,5096.0,1643.0,508.0,61297.0,5077.0,14022400.0,672936953.0,678915504.0,2446162.0,783391.0,903144.0,218002284.0,290911.0
325,2015,72010.0,33159.0,32230.0,13287.0,250200.0,107812.0,35296396.0,664384439.0,512808849.0,148522462.0,8853978.0,17860552.0,184300006.0,5564611.0
326,2015,76130.0,50458.0,40919.0,25408.0,296088.0,159929.0,20819676.0,214556441.0,151082914.0,62552400.0,7363438.0,13941283.0,74805475.0,2001578.0
327,2015,46049.0,7440.0,36428.0,7712.0,136507.0,115312.0,10932554.0,189760963.0,161376233.0,28232266.0,10600201.0,10906478.0,118118408.0,1314500.0
331,2015,52798.0,5612.0,23274.0,4010.0,141404.0,67339.0,16271418.0,418185298.0,284719470.0,133831477.0,15067367.0,8399677.0,219418835.0,2412580.0
332,2015,149744.0,29672.0,37150.0,13344.0,414550.0,112595.0,24975110.0,198503740.0,143857832.0,54498850.0,4285033.0,9538977.0,58357975.0,1646354.0
333,2015,64026.0,20263.0,16617.0,4518.0,193718.0,47460.0,17428209.0,120700221.0,40845102.0,80142939.0,1531601.0,4984612.0,24486613.0,1249238.0
334,2015,108049.0,118984.0,16029.0,16349.0,543429.0,75578.0,38265989.0,60287460.0,12012996.0,48179211.0,2962997.0,4958911.0,15096882.0,1710866.0
335,2015,75709.0,48511.0,31122.0,14622.0,283637.0,105447.0,21422894.0,155887017.0,90179378.0,65467075.0,3017169.0,9214973.0,36370334.0,1089423.0
336,2015,374876.0,229484.0,120972.0,60457.0,1343132.0,422507.0,109227498.0,1760915688.0,480166038.0,1277625310.0,14075023.0,42601090.0,356662852.0,7635958.0
337,2015,32089.0,12784.0,4554.0,1461.0,105923.0,13711.0,5492413.0,21263950.0,18077588.0,3228020.0,376039.0,800322.0,3903370.0,282647.0
339,2015,64305.0,81857.0,4812.0,4824.0,334861.0,22081.0,22005276.0,33871622.0,21162191.0,12717106.0,1710749.0,1364694.0,13583027.0,774886.0
311,2016,327311.0,176824.0,76930.0,39389.0,1348064.0,291749.0,58884690.0,1009340436.0,918025528.0,88807037.0,9711963.0,24695379.0,207593539.0,5128407.0
312,2016,72097.0,9869.0,29930.0,3861.0,211919.0,83881.0,12503883.0,397750328.0,311913644.0,85660075.0,2661589.0,9880781.0,97083250.0,2315454.0
313,2016,34975.0,12254.0,8965.0,3283.0,113970.0,31165.0,6207702.0,57111087.0,39485690.0,17475578.0,2671451.0,2039410.0,28370457.0,450788.0
314,2016,8995.0,6444.0,3675.0,1097.0,37021.0,10372.0,1977404.0,12795972.0,10668716.0,2168017.0,333535.0,796749.0,4768042.0,181561.0
315,2016,54594.0,71496.0,8367.0,10251.0,285638.0,43250.0,11688141.0,43775391.0,31987450.0,11769213.0,771916.0,2071375.0,8462022.0,663604.0
316,2016,34620.0,22417.0,4758.0,2759.0,128356.0,17623.0,6551708.0,38808944.0,27058381.0,11707029.0,454006.0,1111777.0,5132261.0,389878.0
321,2016,9809.0,1791.0,2288.0,537.0,26902.0,6884.0,1271656.0,13650871.0,10658396.0,3079652.0,239447.0,568372.0,3165724.0,88606.0
322,2016,42046.0,12801.0,13690.0,3322.0,140312.0,45602.0,12137613.0,181028595.0,160150410.0,20814264.0,6514756.0,4178922.0,81810818.0,1022359.0
323,2016,14933.0,9508.0,3337.0,2430.0,59054.0,13393.0,4213076.0,26873685.0,24650360.0,2133507.0,481271.0,1143276.0,11120167.0,542365.0
324,2016,19965.0,4722.0,1618.0,534.0,56367.0,4781.0,13260344.0,539156428.0,537035793.0,2170264.0,471422.0,973728.0,218302568.0,301096.0
325,2016,71097.0,33291.0,33074.0,13352.0,246498.0,109083.0,35917267.0,710422855.0,543298174.0,163666518.0,8955963.0,18746017.0,242751768.0,5954382.0
326,2016,79595.0,51650.0,41059.0,25722.0,310288.0,164035.0,23416530.0,233880642.0,163729714.0,69562781.0,7557050.0,14973535.0,81053348.0,2258799.0
327,2016,49323.0,9044.0,33596.0,6851.0,150392.0,105347.0,12807976.0,216253123.0,184669783.0,31363664.0,12244084.0,10422481.0,124194537.0,1406358.0
331,2016,52250.0,6289.0,23275.0,4195.0,143367.0,69218.0,16850618.0,467999211.0,315866498.0,151830510.0,16172086.0,8502616.0,220339748.0,2500993.0
